ra dec u g r i z
10.0668958805179 0.79579309534326 22.35317 20.10815 18.55723 17.09076 16.34768
10.045545196111 0.59332277693004 17.81615 16.71043 16.35534 16.18494 16.13972
9.50912074337555 1.10661238805531 18.50445 16.68403 16.01658 15.77099 15.64585
9.83733447844122 0.847358173173322 21.908 21.32755 21.0241 21.14292 20.91099
10.0182701161199 0.629351265719083 21.30247 19.03094 17.99657 17.59759 17.36358
9.81444144953326 0.942584505301795 19.55135 17.88939 17.25144 16.94891 16.74257
9.8560749407452 0.626441728908376 19.30087 18.0869 17.64599 17.47603 17.39024
9.55833347742544 0.769527980129596 19.06023 18.08126 17.75851 17.62113 17.57184
9.99106096707712 0.63999569871758 19.93012 18.59757 17.82384 17.42576 17.12152
9.7132322403223 0.714462824512242 20.39708 18.42049 17.37918 16.85199 16.43899
10.1064617177376 1.01628524003599 23.76342 21.2125 19.67 18.59208 18.14345
9.7487314544714 1.2078134378516 25.95659 22.3213 20.59426 19.74182 19.25934
9.91808897930059 0.606083223727058 21.69676 20.62376 20.00312 19.68376 19.39096
9.50123296421486 0.903507389629213 21.48808 19.03271 17.72735 17.08859 16.72952
9.63926687494069 1.09103649061247 22.14503 22.00939 20.6767 19.86966 20.06349
9.49560913258733 1.08154301524748 20.27153 17.84915 16.52666 15.96111 15.67164
9.92809489164154 0.62780336532886 19.95278 18.11793 16.99055 16.50541 16.13225
10.0096989643654 1.07078158345433 19.8856 18.40456 17.76919 17.4749 17.32245
9.64905145221223 1.11038218801967 22.69941 20.29525 18.96567 17.77492 17.14605
9.83898674939923 0.851825752589663 24.41488 21.36769 19.93673 18.86536 18.23672
9.86026615591163 1.01483294895581 19.3028 18.40406 18.04467 17.90798 17.83472
9.87167972862414 0.89922556742653 20.58989 18.04599 16.76606 16.15074 15.81932
9.55933390902581 0.818559721445127 21.55342 21.18217 19.77797 19.04568 18.62022
9.69252664731198 0.674982354438988 19.07159 17.98735 17.50428 17.15885 16.96309
10.0933462128825 0.994355008232152 22.11977 20.24787 19.60349 19.14748 18.64237
9.55019434553742 1.01915085526752 18.69538 17.84913 17.58031 17.48473 17.43001
10.0321536976509 0.941562786095457 22.36942 20.00629 18.71885 18.10215 17.75219
9.61338450903932 0.722564996074297 20.72738 18.88364 18.14402 17.85577 17.6582
9.93190265002752 0.800665248955214 23.67612 21.137 19.38192 18.73518 18.32648
9.97101247295188 0.952564177713816 23.78177 20.60842 19.13099 17.86499 17.18781
9.91223961587599 1.00992528630871 22.90169 20.1293 18.74896 17.96283 17.56759
9.66620291883112 1.16445500838729 20.50776 19.80965 19.31534 19.09912 19.04542
9.80193003822868 0.714236033546574 22.49344 20.44047 18.78217 18.20526 17.76097
9.96914353714683 0.752651550442601 20.27339 17.78228 16.68724 16.18167 15.90375
9.99670313581908 0.887246684319696 19.44441 18.50298 18.24457 18.14739 18.11217
9.99496231375974 0.874370044888698 22.0172 20.19536 19.17304 18.70573 18.39641
10.0245400402421 1.17472786889546 22.01698 21.19502 20.22658 19.02645 18.81608
9.99381819447444 0.743076817983067 23.44623 22.01943 19.89532 18.9013 18.4011
10.0015266455105 0.989081019576132 20.9278 18.5292 17.46162 17.02747 16.78145
9.83224162396226 0.770731647737858 18.61214 17.44334 16.93667 16.74728 16.6555
9.88952221563414 0.716860106338619 22.02207 19.32008 17.85741 16.79803 16.21409
9.96040486769124 0.986459070529095 22.12122 21.19161 20.91702 21.10556 20.71634
10.0794399404121 0.823621123160739 21.77463 19.42573 18.25416 17.78421 17.54927
9.93957436909301 0.837700370700221 19.55831 18.29196 17.80133 17.59421 17.49815
9.82708189164543 0.904434745872391 16.14551 14.64781 14.03738 13.6829 13.70927
9.55446133888864 1.14220591919179 23.05416 23.09436 22.13248 21.6887 21.64763
9.61902334617565 0.573420174396044 22.68129 21.59904 20.62433 19.85398 19.41812
9.85494750549742 0.556804181690226 22.26209 20.38768 18.98259 17.6666 16.9469
10.0801906980663 0.828008854059885 24.22445 21.98211 20.53199 19.1019 18.35546
9.77671799916158 0.751356880058083 22.379 21.2949 20.15354 19.66298 19.40481
10.0416338248535 1.00607868895641 20.32261 18.82844 18.05046 17.62697 17.48544
9.69183798486392 1.17537202742355 19.55695 18.63294 18.3266 18.22096 18.15273
9.72727455928055 0.617997762504685 26.39319 22.45094 20.94324 19.75351 19.10652
9.61014314309935 0.655816550544246 22.01955 20.23442 19.34208 18.9388 18.76884
9.86052794245188 1.13214577867943 19.89118 18.70251 18.25385 17.94528 17.90394
9.55019892849202 0.966225051432597 21.93363 19.62621 18.37185 17.83981 17.48195
9.82832553218179 0.891993679273859 16.19029 14.90307 14.42998 14.15213 13.95494
9.55272826513908 0.59155430005432 22.44973 21.88431 20.95638 20.70423 20.45886
9.8677487266998 0.863415839015916 19.71856 18.61631 18.17845 17.87955 17.69832
9.74348681366553 0.946101681378479 22.54181 21.78486 21.46898 21.18449 20.95195
9.76382627555438 1.16657850142148 21.3053 19.66527 19.04132 18.86362 18.725
9.56337109634313 0.773710708616428 22.07081 19.56628 18.14433 17.29526 16.85276
9.66947945061665 0.782898441043861 22.4619 19.93337 18.73076 18.22297 17.87518
9.81063132321574 0.785864588289246 20.39506 18.96113 18.39962 18.23 18.12782
9.89665095066289 0.802469596990489 18.1326 16.81901 16.29926 16.13476 16.02209
9.50636373615049 0.673465810785688 22.22024 21.79999 20.92858 20.38736 20.07636
10.097642918548 0.85644440887306 19.97219 18.67878 18.0318 17.63668 17.39665
10.0772202729233 0.829207827329609 19.55093 17.86027 16.86961 16.35147 15.96021
9.91935172650631 0.964707046703778 24.20354 20.9393 19.51911 18.00861 17.20993
9.78948185107208 1.17997044397476 23.09358 22.80551 20.90266 19.66127 19.16733
9.87166797549435 0.609864385771802 18.96567 18.94622 18.77317 18.94747 18.98637
9.64847692226351 1.21167490805332 21.62008 19.25963 18.00484 17.45658 17.14843
10.0921356696074 1.16950562157561 23.65111 23.0048 20.6768 19.63464 19.26514
9.61830539435493 0.615722312786734 17.18982 16.18468 15.77776 15.60429 15.50604
9.92383659464562 0.777110641073376 21.30901 18.97207 17.90821 17.52786 17.28363
9.49252144846105 0.877486368823028 23.3917 21.56409 20.03412 19.24787 18.8703
9.66938013865791 1.20326315006227 19.31623 18.36984 18.02591 17.73185 17.60847
9.80743069347375 1.14292412026283 22.31494 21.57715 20.35276 19.56446 19.13591
9.71260418987799 0.588436638401921 21.31008 19.0556 17.66718 16.68413 16.14615
9.8092460466325 1.10644255779593 22.84575 21.20457 19.85686 18.59594 17.96046
9.82434686616381 0.900540802135973 24.04417 22.5798 21.36519 20.85435 20.32608
9.79293339430092 0.65982932663428 16.98195 15.47617 15.43215 14.62714 14.47901
9.8013396132699 0.751915855272404 19.30367 17.60189 16.93871 16.69905 16.58134
9.54514888489223 1.17997218903309 23.42774 20.05517 18.4614 16.92064 16.06747
9.88809054834826 0.969337699980894 22.41866 20.02324 18.57775 17.40236 16.78186
9.66339467769782 0.729092900632688 22.26399 21.71888 19.76217 18.70274 17.96215
9.61788283470497 0.837948524304223 22.53193 20.74498 19.19363 17.66664 16.79441
9.5520298001934 1.03163324576174 21.96147 19.38257 17.89613 16.83165 16.24069
9.50619115037944 0.975553055839856 26.23863 22.20972 20.3682 19.45197 19.09663
9.78076120199819 0.916816095878732 21.00669 20.08142 19.50874 19.23386 19.09785
9.87921285455025 1.04080409241732 24.94466 21.56207 19.97427 18.64504 17.92384
9.60584840498427 0.749302919154795 23.47471 21.60341 20.1303 18.95227 18.33363
9.89745316107405 0.906217937116048 22.44656 21.72392 21.67862 21.55351 21.22524
9.70688855477073 0.87334024256244 19.72126 18.50921 17.90699 17.58881 17.35207
9.82803522801154 0.671632256632105 22.31035 20.21416 18.82577 17.4947 16.76541
9.77591286299764 1.16282719384228 18.65497 17.51099 17.05838 16.84307 16.74686
9.57826220374812 0.643838510053576 19.49451 18.61728 18.24748 17.96398 17.91833
9.66314071545807 0.785322470345065 20.00786 18.50145 17.91662 17.69523 17.55796
9.96097268966338 0.833763314070065 20.24396 18.54441 17.52886 17.07767 16.71167
9.79433114424933 0.76788885086101 20.02368 17.54067 16.09675 15.01023 14.4325
10.1278326326326 0.773840296547307 22.33429 21.46725 20.06187 19.26802 18.72001
9.63914330947077 1.04889302260973 23.84945 20.68576 19.23592 18.25469 17.64765
9.74444040413277 1.02708145057521 21.26304 20.52802 19.47207 19.02911 18.69757
9.76092345261381 0.771626840131173 18.78572 17.72858 17.21072 16.90566 16.76131
9.65406346764144 1.01772158038228 22.48281 20.34008 19.08019 18.47118 18.13446
9.71581792319407 0.835062360814693 19.78319 17.30454 16.23497 15.85619 15.64487
10.068091231021 0.719615109525625 23.09308 20.25843 18.97786 18.41439 18.10571
9.9850399795061 0.864612487177232 19.84199 18.48819 17.97324 17.77898 17.72614
9.84173327887049 0.805414758189411 23.37864 21.2732 19.41089 18.75545 18.27176
9.79644636279863 1.08612604327005 20.12532 17.56145 16.40944 15.97287 15.74002
9.56078248765306 0.619560666266201 19.78911 17.88528 16.92099 16.5031 16.17208
9.5778500563282 0.607453841852701 19.31086 17.99078 17.32238 16.88681 16.647
9.66782511849357 0.674402272964063 17.39614 15.95268 15.3783 15.18211 15.08145
9.6968889733148 0.572142198057423 22.93982 21.91933 20.38062 19.63386 19.1925
9.97439594100007 0.986306345015106 21.88469 19.67701 18.36299 17.7408 17.38461
9.86490873014242 1.05587253623686 18.61698 16.62824 15.75549 15.42096 15.26905
9.56804159938724 0.873896791382943 19.43081 19.47706 19.80181 20.0058 20.27424
9.98136962200925 0.881575904525086 21.69916 20.37063 19.34383 19.0089 18.59245
10.0033924259711 0.562143093074633 22.36984 19.68917 18.25078 17.21325 16.6367
9.74670367311444 1.21274617923902 21.58107 21.10176 20.27091 19.55291 19.44903
9.6805394860441 0.782412996797934 24.06496 21.77313 20.11464 19.20067 18.77767
9.49469420965761 0.631131327849923 22.63416 20.15392 18.68929 17.50373 16.86107
9.52337958102225 0.915504141049497 21.20587 18.46433 17.3292 16.87138 16.60066
9.65844623123928 1.13645740211575 20.78593 18.44793 17.39089 16.99941 16.79679
9.91627008521345 0.913446125592096 19.15081 17.84354 17.3089 17.07348 16.97519
9.85748675276534 1.13819082727142 20.03845 18.62089 17.80549 17.36302 17.00905
9.94903159686177 0.655353703796731 18.53374 17.49952 17.02309 16.79844 16.65783
9.68058189562578 0.557438930291084 19.45298 17.43049 16.50352 16.07549 15.72685
10.016077137636 0.981737614065207 22.97127 22.03445 20.62436 19.85407 19.14101
9.98815452699876 0.979933502754717 23.55338 21.73742 20.04348 19.12955 18.70266
9.49788438733151 0.886448597577973 20.82016 20.45421 20.42504 19.99708 19.77209
9.95941917960363 0.569676061748279 23.3788 20.54927 19.11984 18.02023 17.43674
10.1307290307547 0.836081054072985 19.53528 18.28289 17.6865 17.32585 17.10906
9.66817233794001 1.14811929467853 22.34606 21.92832 20.81079 19.99345 19.45939
9.73831737130365 0.94211230314187 22.38103 21.84132 21.53015 21.31074 21.37551
9.89760681414168 0.85147003604525 23.00171 20.99443 19.90705 18.82312 18.28025
9.67009891182713 0.826056962610542 23.69026 20.66065 18.99679 18.37188 18.02271
10.0565426598741 0.59110328398408 20.35769 18.69365 18.22949 18.12824 17.88638
9.49845700335436 1.21066907208972 22.16622 19.61849 18.15814 16.70971 15.87824
10.1297202109937 0.918971134247102 19.01876 18.06606 17.77294 17.65958 17.6431
9.68581702624351 0.975019528207183 22.75861 20.01987 18.57818 17.62506 17.10211
9.5233792623834 0.579330770882811 19.23886 18.33665 18.02866 17.91783 17.87452
9.53214518400694 1.1170074355947 21.28963 18.93536 17.58367 16.73925 16.28001
9.49535717774916 1.19322095990663 22.24122 20.32691 18.47289 17.7658 17.36249
9.63527285447816 0.805007285094636 17.04874 15.97186 15.61729 15.49876 15.45603
9.51919701822811 1.06991813506602 23.31213 21.76757 20.46498 19.66457 19.2107
9.64660213587536 0.831651586074864 25.29263 21.82293 20.10585 19.17144 18.65621
10.0946389954251 0.789299363366965 22.75267 19.85113 18.45228 17.65077 17.28006
9.53176660229261 0.724621476021062 22.44379 19.67227 18.2423 17.35246 16.88032
9.73259566738201 0.801134966488163 21.90133 21.22084 19.88486 19.37445 18.96095
9.80341340022426 0.980200625391168 25.29045 22.58644 20.47692 19.47205 18.79861
9.50366065739306 0.793218212534324 22.58593 20.26036 18.8836 17.73586 17.12235
9.82433382693205 0.912766207794579 15.64988 13.79875 13.00637 12.6086 12.30968
9.97679528391799 0.726451623728896 22.52339 19.53819 18.18551 17.46633 17.0235
9.70164121288008 0.705532800610014 22.94127 20.453 18.73986 18.10317 17.90357
10.016943167548 0.750154635890107 21.59171 19.19167 17.98739 17.47305 17.15479
